,E0,Ep,dL,phi,th_LRL
10001,0.,144.,1.,1.,0.
10004,0.,144.,1.,4.,0.
10005,0.,144.,1.,5.,0.
10011,0.,144.,1.,11.,0.
10012,0.,144.,1.,12.,0.
10013,0.,144.,1.,13.,0.
10014,0.,144.,1.,14.,0.
10015,0.,144.,1.,15.,0.
10018,0.,144.,1.,18.,0.
10019,0.,144.,1.,19.,0.
10020,0.,144.,1.,20.,0.
10023,0.,144.,1.,23.,0.
10025,0.,144.,1.,25.,0.
10028,0.,144.,1.,28.,0.
10032,0.,144.,1.,32.,0.
10033,0.,144.,1.,33.,0.
10035,0.,144.,1.,35.,0.
10042,0.,144.,1.,42.,0.
10044,0.,144.,1.,44.,0.
10050,0.,144.,1.,50.,0.
10054,0.,144.,1.,54.,0.
10055,0.,144.,1.,55.,0.
10056,0.,144.,1.,56.,0.
10058,0.,144.,1.,58.,0.
10066,0.,144.,1.,66.,0.
10071,0.,144.,1.,71.,0.
10072,0.,144.,1.,72.,0.
10073,0.,144.,1.,73.,0.
10078,0.,144.,1.,78.,0.
10083,0.,144.,1.,83.,0.
10084,0.,144.,1.,84.,0.
10124,0.,144.,1.,124.,0.
10160,0.,144.,1.,160.,0.
10165,0.,144.,1.,165.,0.
10166,0.,144.,1.,166.,0.
10167,0.,144.,1.,167.,0.
10168,0.,144.,1.,168.,0.
10177,0.,144.,1.,177.,0.
10181,0.,144.,1.,181.,0.
10183,0.,144.,1.,183.,0.
10184,0.,144.,1.,184.,0.
10186,0.,144.,1.,186.,0.
10191,0.,144.,1.,191.,0.
10195,0.,144.,1.,195.,0.
10198,0.,144.,1.,198.,0.
10426,-20.,0.,-1.,26.,0.
10432,-20.,0.,-1.,32.,0.
10445,-20.,0.,-1.,45.,0.
10448,-20.,0.,-1.,48.,0.
10587,-20.,0.,-1.,187.,0.
10687,-20.,0.,-1.,87.,1.
10726,-20.,0.,-1.,126.,1.
10732,-20.,0.,-1.,132.,1.
10745,-20.,0.,-1.,145.,1.
