,E0,Ep,dL,phi,th_LRL,Error,Dlow,Dhigh,enfinal
4434,0.,7.000885682047636e-12,1.,1.0681415022205298,0.,mxst,0.,9.797176561248524e8,-0.00006176431616652861
4435,0.,7.000885682047636e-12,1.,1.0995574287564276,0.,ndsz,0.,5.918202798017715e8,-0.000014857263657575004
4436,0.,7.000885682047636e-12,1.,1.1309733552923256,0.,mxst,0.,1.5120674818827302e9,-0.00004034891886650193
4440,0.,7.000885682047636e-12,1.,1.2566370614359172,0.,mxst,0.,1.338250929775447e9,-0.0000611035946280758
4454,0.,7.000885682047636e-12,1.,1.6964600329384885,0.,ndsz,0.,5.0945541151971847e8,-4.1939110033695215e-6
4464,0.,7.000885682047636e-12,1.,2.0106192982974678,0.,ndsz,0.,3.5012106445971316e8,-6.4871601352933794e-6
4481,0.,7.000885682047636e-12,1.,2.5446900494077327,0.,NOERR,0.,2.8938961335592947e9,-7.524999747436765e-6
4483,0.,7.000885682047636e-12,1.,2.607521902479528,0.,ndsz,0.,8.268274667312505e8,6.287621933504482e-8
4561,0.,7.000885682047636e-12,1.,5.057964172279568,0.,NOERR,0.,2.8938961335592947e9,2.4739855737546005e-6
4575,0.,7.000885682047636e-12,1.,5.497787143782138,0.,ndsz,0.,2.743668649656112e8,4.73681308221785e-6
4576,0.,7.000885682047636e-12,1.,5.529203070318036,0.,ndsz,0.,3.084223419080365e8,-7.271158551702683e-6
4577,0.,7.000885682047636e-12,1.,5.5606189968539335,0.,ndsz,0.,2.5218743102693427e8,-8.256954003166284e-6
4585,0.,7.000885682047636e-12,1.,5.811946409141117,0.,ndsz,0.,5.289581750287579e8,5.908778035745854e-7
4594,0.,7.000885682047636e-12,1.,6.094689747964199,0.,ndsz,0.,4.505801664721267e8,-2.690655165338285e-6
4709,0.,7.000885682047636e-12,1.,3.4243359924128747,3.141592653589793,NOERR,0.,2.8938961335592947e9,-2.674750903800793e-7
4716,0.,7.000885682047636e-12,1.,3.64424747816416,3.141592653589793,ndsz,0.,6.592300896227283e8,-9.950992378549017e-6
4718,0.,7.000885682047636e-12,1.,3.707079331235956,3.141592653589793,ndsz,0.,5.964439772359822e8,-0.000010080645026278034
4719,0.,7.000885682047636e-12,1.,3.7384952577718535,3.141592653589793,mxst,0.,1.9924513108229191e9,-0.0000339559588651887
